Time,X_pos,Y_pos,X_vel,Y_vel,X_acl,Y_acl,Angle,Ang_vel,Ang_acl
0.0,0,0,0,0,0.0,-9.81,0,0,10.0
0.01,0.0,0,0.0,-0.0981,-1.595230936241828e-05,-8.89600000013921,0.001,0.1,10.0
0.02,-1.595230936241828e-09,0,-1.595230936241828e-07,-0.1870600000013921,-9.571385613563488e-05,-7.982000002505783,0.003,0.2,10.0
0.03,-1.2761847486047144e-08,0,-1.1166616549805315e-06,-0.26688000002644996,-0.00028714156801329713,-7.068000015034698,0.006,0.30000000000000004,10.0
0.04,-5.2642620837182174e-08,0,-3.988077335113503e-06,-0.33756000017679694,-0.0006380923712895593,-6.154000055684065,0.01,0.4,10.0
0.05,-1.5633263131727312e-07,0,-1.0369001048009095e-05,-0.3991000007336376,-0.0011964231885751872,-5.24000015661143,0.015,0.5,10.0
0.06,-3.796649606548828e-07,0,-2.2333232933760968e-05,-0.4515000022997519,-0.002009990934764297,-4.3260003683500825,0.020999999999999998,0.6,10.0
0.07,-8.039963834689222e-07,0,-4.2433142281403936e-05,-0.4947600059832527,-0.003126652510741496,-3.412000763985348,0.027999999999999997,0.7,10.0
0.08,-1.540993057357111e-06,0,-7.369966738881889e-05,-0.5288800136231062,-0.004594264794319192,-2.4980014433309012,0.036,0.7999999999999999,10.0
0.09,-2.7374162106772193e-06,0,-0.00011964231533201082,-0.5538600280564152,-0.006460684627894846,-1.584002537105052,0.045,0.8999999999999999,10.0
0.1,-4.5799078267868125e-06,0,-0.00018424916161095928,-0.5697000534274658,-0.008773768802317929,-0.6700042111070452,0.05499999999999999,0.9999999999999999,10.0
0.11,-7.299776323128197e-06,0,-0.00027198684963413854,-0.5764000955385362,-0.011581374036456364,0.24399332960666875,0.06599999999999999,1.0999999999999999,10.0
0.12,-1.1177782223115218e-05,0,-0.0003878005899987022,-0.5739601622424695,-0.014931356951952222,1.157989836546145,0.07799999999999999,1.2,10.0
0.13,-1.6548923818297463e-05,0,-0.0005371141595182244,-0.562380263877008,-0.018871574042656422,2.0719850136117035,0.09099999999999998,1.3,10.0
0.14,-2.3807222817745348e-05,0,-0.0007258298999447886,-0.541660413740891,-0.02344988163823228,2.9859785129176863,0.10499999999999998,1.4000000000000001,10.0
0.15,-3.341050998101646e-05,0,-0.0009603287163271114,-0.5118006286117142,-0.028714135861417616,3.8999699306162494,0.11999999999999998,1.5000000000000002,10.0
0.16,-4.588521073042934e-05,0,-0.0012474700749412876,-0.4728009293055517,-0.03616249001179297,5.424957081472732,0.13599999999999998,1.6000000000000003,10.0
